NAMA_DAS,NAMOBJ,luas_km2,nama_ws_induk
AALAA  ALO-ALO,Konawe Utara,11.824550545811269,WS LASOLO-KONAWEHA
AALAA KONAWEHA,Kolaka,283.81537844252034,WS TOARI-LASUSUA
AALAA KONAWEHA,Kolaka Timur,0.4830921422138844,WS TOARI-LASUSUA
AALAA LEMO,Konawe Selatan,0.0118956973615132,WS POLEANG-RORAYA
AALAA LEMO,Kota Kendari,6.481345786967796,WS POLEANG-RORAYA
AALAA SOPURA,Kolaka,9.307109663136464,WS TOARI-LASUSUA
AAS,Karangasem,0.6114335213411517,WS BALI-PENIDA
AATAA MATA,Konawe,2.730593460738859,WS POLEANG-RORAYA
AATAA MATA,Kota Kendari,3.7233050642068313,WS POLEANG-RORAYA
ABABIADI,Supiori,23.42544203456312,WS WAPOGA-MIMIKA
ABAJARANG,Toli Toli,13.680904465393334,WS LAMBUNU-BUOL
ABALING,Toli Toli,18.334068377878143,WS LAMBUNU-BUOL
ABALING 2,Toli Toli,1.460025044625746,WS LAMBUNU-BUOL
ABALING 3,Toli Toli,3.306427460421536,WS LAMBUNU-BUOL
ABANBAGA LABANJAU,Kepulauan Mentawai,36.507160988495386,WS ANAI-SIBERUT-PAGAI-SIPORA
ABANG BESAR,Kota Batam,13.24350934469771,WS KEPULAUAN RIAU
ABANG KECIL,Kota Batam,4.017468987359465,WS KEPULAUAN RIAU
ABANG TANJUNG,Kota Batam,0.003512878593897,WS KEPULAUAN RIAU
ABANG TELUK,Kota Batam,0.0051261308932255,WS KEPULAUAN RIAU
ABANGBOL,Alor,0.7047236067731585,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABANGGIWANG SAKARAINANG,Alor,5.0143975515369865,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABANGIWANG 1,Alor,0.8516421218599961,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABANGIWANG 2,Alor,0.3356312240123414,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABASON,Banggai,1.4197636987226774,WS BONGKA-MANTAWA
ABASON 2,Banggai,1.505865470612947,WS BONGKA-MANTAWA
ABASON 3,Banggai,1.6876091538648,WS BONGKA-MANTAWA
ABAWERI,Fak Fak,16.63549569157855,WS OMBA
ABE PANTAI 1,Kota Jayapura,2.2122091798965413,WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI
ABE PANTAI 2,Kota Jayapura,5.365955323293496,WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI
ABEKAE,Bone,6.147858151210912,WS JENEBERANG
ABELI,Konawe Selatan,0.5721221253810677,WS POLEANG-RORAYA
ABELI,Kota Kendari,15.555416513807009,WS POLEANG-RORAYA
ABIAIBABA,Kepulauan Yapen,3.390809933611683,WS WAPOGA-MIMIKA
ABIDON,Raja Ampat,0.8291168863672459,WS KAMUNDAN-SEBYAR
ABILA,Alor,0.5835478961327425,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABSIPIPOPO,Raja Ampat,2.857267218346724,WS KAMUNDAN-SEBYAR
ABSIPIPOPO PULAU,Raja Ampat,0.0004393250395059,WS KAMUNDAN-SEBYAR
ABUAWAL KOKAR,Alor,24.04737212735338,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABUMAMBORBI,Biak Numfor,0.0085538954944318,WS WAPOGA-MIMIKA
ABUSU,Konawe Selatan,2.5608584487342747,WS POLEANG-RORAYA
ACAI,Kota Jayapura,40.37618902108579,WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI
ACEMO,Manokwari,4.904326469929205,WS KAMUNDAN-SEBYAR
ACEMO UTARA,Manokwari,1.5546084024076636,WS KAMUNDAN-SEBYAR
ADADIKAM,Biak Numfor,160.41395345208613,WS WAPOGA-MIMIKA
ADAKA,Konawe Selatan,8.02884027796842,WS POLEANG-RORAYA
ADANG,Paser,330.47082524540326,WS KENDILO
ADIBANG 1,Alor,1.1423708288765522,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ADIBANG 2,Alor,0.327710555540625,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ADIBANG 3,Alor,0.2634642488076789,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ADIBANG 4,Alor,0.2551589172582423,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ADLI,Raja Ampat,0.0025932937459905,WS KAMUNDAN-SEBYAR
ADOKI 1,Biak Numfor,313.6317026617984,WS WAPOGA-MIMIKA
ADOKI 2,Biak Numfor,0.00052075472889,WS WAPOGA-MIMIKA
ADOKI 3,Biak Numfor,0.0007427207981029,WS WAPOGA-MIMIKA
ADOKI 4,Biak Numfor,0.0010880142477517,WS WAPOGA-MIMIKA
ADONARA 1,Flores Timur,0.9767212955983808,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ADONARA 2,Flores Timur,0.612856809641714,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ADORA,Fak Fak,2.11587699202918,WS OMBA
ADOWAI,Flores Timur,2.5507931163571373,WS FLORES
ADU,Lingga,0.0403121660391297,WS KEPULAUAN RIAU
ADU,Bima,0.0375355747924755,WS SUMBAWA
ADU KECIK,Lingga,0.0173099874206245,WS KEPULAUAN RIAU
ADU LAUT,Lingga,0.0020238349816073,WS KEPULAUAN RIAU
ADU SEDANG,Lingga,0.0077012269806666,WS KEPULAUAN RIAU
ADUWEI,Raja Ampat,3.8801362400467214,WS KAMUNDAN-SEBYAR
ADWIPI,Kepulauan Yapen,0.0172988112579213,WS WAPOGA-MIMIKA
AE DEO,Ende,2.849115349832287,WS FLORES
AE DEO 2,Ende,0.701846445010068,WS FLORES
AE KOKO,Nagekeo,1.7896516234595885,WS FLORES
AE LENGI,Ende,4.20754700941885,WS FLORES
AE MBUU 1,Ende,2.496634068441662,WS FLORES
AE MBUU 2,Ende,0.4801721547284797,WS FLORES
AE NAGANIONIBA,Ende,71.11398392787284,WS FLORES
AE NAGANIONIBA,Nagekeo,0.2633359262792964,WS FLORES
AE NANGAMERE,Nagekeo,62.224957400914825,WS FLORES
AE REKA,Ende,5.422428524474667,WS FLORES
AE RUJU,Ende,7.342604987496791,WS FLORES
AE SEMI,Nagekeo,5.266722644217628,WS FLORES
AE SEMI,Ngada,2.2334426754222654,WS FLORES
AE WATUSEWA,Ende,1.4543288401336212,WS FLORES
AEBARA,Ende,121.54619743139178,WS FLORES
AEBELA,Ende,1.853039515548276,WS FLORES
AEDAN,Parigi Moutong,13.913366709500115,WS RANDANGAN
AEJETI,Ende,10.046556268827851,WS FLORES
AEK INTAN,Kayong Utara,0.9348989868994666,WS PAWAN
AEK LALANG,Bengkulu Utara,17.261240744121633,WS SEBLAT-KETAHUN-LAIS
AEK NGURUH,Kayong Utara,2.392719034898405,WS PAWAN
AEK PANDAN,Tapanuli Tengah,71.44233514043344,WS SIBUNDONG-BATANG TORU
AEMUDA,Nagekeo,1.6910418539174104,WS FLORES
AEMUDA 2,Nagekeo,0.1178964600673787,WS FLORES
AENG TOWA,Gowa,13.554095675084143,WS JENEBERANG
AENG TOWA,Kota Makassar,1.8073590726873403,WS JENEBERANG
AENG TOWA,Takalar,9.05314766095333,WS JENEBERANG
AENGKOKAP,Sumenep,3.1940592852047915,WS KEPULAUAN MADURA
AEPAI,Ende,23.79890371298208,WS FLORES
AEREO,Timor Tengah Utara,3.590790384734493,WS BENAIN
