nama_das,nama_ws_induk,luas_das_km2
COT RITIENG 2,WS ACEH-MEUREUDU,0.0
KRUENG RABA 2,WS ACEH-MEUREUDU,0.0
UJUNG BATEE KAPAL 2,WS ACEH-MEUREUDU,0.0
KRUENG ACEH,WS ACEH-MEUREUDU,1765.64
KRUENG BARO,WS ACEH-MEUREUDU,558.33
KRUENG MEUREUDU,WS ACEH-MEUREUDU,395.35
KRUENG TIRO,WS ACEH-MEUREUDU,301.77
KRUENG PANTERAJA,WS ACEH-MEUREUDU,202.78
KRUENG BATEE PIDIE,WS ACEH-MEUREUDU,188.08
KRUENG NJONG,WS ACEH-MEUREUDU,178.39
KRUENG SAMALANGA,WS ACEH-MEUREUDU,176.8
KRUENG ULIM,WS ACEH-MEUREUDU,150.4
KRUENG GEUPU,WS ACEH-MEUREUDU,139.99
KRUENG BEURACAN,WS ACEH-MEUREUDU,135.77
KRUENG BIHEUE,WS ACEH-MEUREUDU,58.3
KRUENG TEUNGKU,WS ACEH-MEUREUDU,106.37
KRUENG RABA,WS ACEH-MEUREUDU,95.63
KRUENG LAMNGA,WS ACEH-MEUREUDU,90.44
KRUENG RAYA,WS ACEH-MEUREUDU,73.07
KRUENG LAWEUENG,WS ACEH-MEUREUDU,63.74
KRUENG TAMBUE,WS ACEH-MEUREUDU,53.71
KRUENG LHOONG,WS ACEH-MEUREUDU,52.65
KRUENG LEUNGAH,WS ACEH-MEUREUDU,48.4
KRUENG LAMPANAH,WS ACEH-MEUREUDU,36.42
KRUENG KIRAN,WS ACEH-MEUREUDU,35.02
ALUE DAGANG,WS ACEH-MEUREUDU,30.47
KRUENG TRIENGGADENG,WS ACEH-MEUREUDU,31.0
KRUENG PUDENG,WS ACEH-MEUREUDU,28.95
KRUENG KALA,WS ACEH-MEUREUDU,24.63
KRUENG IE MASEN,WS ACEH-MEUREUDU,24.1
KRUENG GEUNTEUET LHONG,WS ACEH-MEUREUDU,19.54
KRUENG LEUBOK,WS ACEH-MEUREUDU,17.11
KRUENG BATEE MEUKEURENDA,WS ACEH-MEUREUDU,13.74
PAYA SEUNARA,WS ACEH-MEUREUDU,12.54
KRUENG RITING,WS ACEH-MEUREUDU,10.38
ALUE REUYEUENG,WS ACEH-MEUREUDU,9.99
KUALA SAGI,WS ACEH-MEUREUDU,9.65
PRIA LAOT,WS ACEH-MEUREUDU,9.25
KRUENG BALOHAN,WS ACEH-MEUREUDU,9.19
UJONG KEUPULA,WS ACEH-MEUREUDU,8.58
GURAH,WS ACEH-MEUREUDU,7.58
KRUENG PHONG KAREUNG,WS ACEH-MEUREUDU,6.98
KEUNEUKAI,WS ACEH-MEUREUDU,6.66
KRUENG CEUNOHOT BESAR,WS ACEH-MEUREUDU,6.55
KRUENG MEULENU,WS ACEH-MEUREUDU,6.37
ALUE RAYA,WS ACEH-MEUREUDU,6.12
KRUENG BLANG ULAM,WS ACEH-MEUREUDU,6.04
KRUENG POCHI,WS ACEH-MEUREUDU,5.97
KRUENG KAREUENG,WS ACEH-MEUREUDU,5.88
LAMBADEUK,WS ACEH-MEUREUDU,5.82
ALUE BATE KARE,WS ACEH-MEUREUDU,5.84
MUARA TIGA,WS ACEH-MEUREUDU,4.4
BUGA,WS ACEH-MEUREUDU,4.06
KRUENG CUT,WS ACEH-MEUREUDU,3.76
ALUE SANAI,WS ACEH-MEUREUDU,3.78
ALUE SETUY,WS ACEH-MEUREUDU,3.82
SENGKO MULAT,WS ACEH-MEUREUDU,3.61
BLANG RAYA,WS ACEH-MEUREUDU,3.58
KRUENG SEUPEUNG RAYA,WS ACEH-MEUREUDU,3.51
LANGE,WS ACEH-MEUREUDU,3.43
KRUENG KATE,WS ACEH-MEUREUDU,3.33
PULOT,WS ACEH-MEUREUDU,3.2
LHOK KEUTAPANG,WS ACEH-MEUREUDU,3.1
ALUE BANGAU,WS ACEH-MEUREUDU,2.95
KRUENG BALEE,WS ACEH-MEUREUDU,2.95
KRUENG MOB,WS ACEH-MEUREUDU,2.89
GLE TUJOH,WS ACEH-MEUREUDU,2.8
UJUNG PI,WS ACEH-MEUREUDU,2.7
KRUENG LEUBOK 2,WS ACEH-MEUREUDU,2.49
ALUE ALAU,WS ACEH-MEUREUDU,2.46
GUA SEUMANTONG,WS ACEH-MEUREUDU,2.13
KRUENG SEUPEUNG RAYA 2,WS ACEH-MEUREUDU,2.15
IBOIH,WS ACEH-MEUREUDU,2.11
RINON,WS ACEH-MEUREUDU,2.0
LAMBARO NEUJID,WS ACEH-MEUREUDU,1.97
IE MEULEE,WS ACEH-MEUREUDU,8.67
ALUE CEUHUM,WS ACEH-MEUREUDU,1.86
ALUE LUMEH,WS ACEH-MEUREUDU,1.86
KRUENG TEUNGKU SIPHEUT,WS ACEH-MEUREUDU,1.79
ALUE LAMBARO,WS ACEH-MEUREUDU,1.72
PULAU BUNTA,WS ACEH-MEUREUDU,1.73
SEULIMPA,WS ACEH-MEUREUDU,1.65
SIRUI,WS ACEH-MEUREUDU,1.53
TEUPIN LAYEU,WS ACEH-MEUREUDU,1.46
KRUENG MON IENG,WS ACEH-MEUREUDU,1.42
TEUPIN IBOIH 2,WS ACEH-MEUREUDU,1.35
ALUE POWONGIAT,WS ACEH-MEUREUDU,1.31
