NAMA_DAS,WADMPR,luas_km2,nama_ws_induk
AALAA  ALO-ALO,Sulawesi Tenggara,11.824550545811269,WS LASOLO-KONAWEHA
AALAA KONAWEHA,Sulawesi Tenggara,284.29847058473496,WS TOARI-LASUSUA
AALAA LEMO,Sulawesi Tenggara,6.493241484329271,WS POLEANG-RORAYA
AALAA SOPURA,Sulawesi Tenggara,9.307109663136464,WS TOARI-LASUSUA
AAS,Bali,0.6114335213411517,WS BALI-PENIDA
AATAA MATA,Sulawesi Tenggara,6.453898524945641,WS POLEANG-RORAYA
ABABIADI,Papua,23.42544203456312,WS WAPOGA-MIMIKA
ABAJARANG,Sulawesi Tengah,13.680904465393334,WS LAMBUNU-BUOL
ABALING,Sulawesi Tengah,18.334068377878143,WS LAMBUNU-BUOL
ABALING 2,Sulawesi Tengah,1.460025044625746,WS LAMBUNU-BUOL
ABALING 3,Sulawesi Tengah,3.306427460421536,WS LAMBUNU-BUOL
ABANBAGA LABANJAU,Sumatera Barat,36.507160988495386,WS ANAI-SIBERUT-PAGAI-SIPORA
ABANG BESAR,Kepulauan Riau,13.24350934469771,WS KEPULAUAN RIAU
ABANG KECIL,Kepulauan Riau,4.017468987359465,WS KEPULAUAN RIAU
ABANG TANJUNG,Kepulauan Riau,0.003512878593897,WS KEPULAUAN RIAU
ABANG TELUK,Kepulauan Riau,0.0051261308932255,WS KEPULAUAN RIAU
ABANGBOL,Nusa Tenggara Timur,0.7047236067731585,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABANGGIWANG SAKARAINANG,Nusa Tenggara Timur,5.0143975515369865,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABANGIWANG 1,Nusa Tenggara Timur,0.8516421218599961,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABANGIWANG 2,Nusa Tenggara Timur,0.3356312240123414,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
ABASON,Sulawesi Tengah,1.4197636987226774,WS BONGKA-MANTAWA
ABASON 2,Sulawesi Tengah,1.505865470612947,WS BONGKA-MANTAWA
ABASON 3,Sulawesi Tengah,1.6876091538648,WS BONGKA-MANTAWA
ABAWERI,Papua Barat,16.63549569157855,WS OMBA
ABE PANTAI 1,Papua,2.2122091798965413,WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI
ABE PANTAI 2,Papua,5.365955323293496,WS MEMBERAMO-ANDAIWAIREN-SENTANI TAMI
ABEKAE,Sulawesi Selatan,6.147858151210912,WS JENEBERANG
ABELI,Sulawesi Tenggara,16.127538639187943,WS POLEANG-RORAYA
ABIAIBABA,Papua,3.390809933611683,WS WAPOGA-MIMIKA
ABIDON,Papua Barat Daya,0.8291168863672459,WS KAMUNDAN-SEBYAR
ABILA,Nusa Tenggara Timur,0.5835478961327425,WS FLOTIM KEPULAUAN-LEMBATA-ALOR
