NAMOBJ,jumlah_ws,luas_ws_km2,jumlah_das,luas_das_km2
Aceh Barat,2,2782.87,5,2782.87
Aceh Barat Daya,3,1882.28,11,1882.28
Aceh Besar,2,2891.47,222,2891.47
Aceh Jaya,3,3872.21,90,3872.21
Aceh Selatan,2,4175.37,67,4175.37
Aceh Singkil,1,1852.82,87,1852.82
Aceh Tamiang,2,2187.58,11,2187.58
Aceh Tengah,4,4468.42,8,4468.42
Aceh Tenggara,4,4179.12,8,4179.12
Aceh Timur,2,5409.35,21,5409.35
Aceh Utara,2,2705.19,8,2705.19
Adm. Kep. Seribu,1,10.73,115,10.73
Agam,3,2226.27,15,2226.27
Alor,1,2928.56,643,2928.56
Asahan,3,3737.83,3,3737.83
Asmat,1,25014.7,4,25014.7
Badung,1,398.75,43,398.75
Balangan,3,1828.51,4,1828.51
Bandung,4,1740.84,10,1740.84
Bandung Barat,2,1283.44,4,1283.44
Banggai,1,8252.88,384,8252.88
Banggai Kepulauan,1,2385.07,473,2385.07
Banggai Laut,1,688.15,1203,688.15
Bangka,1,3016.85,78,3016.85
Bangka Barat,1,2851.41,157,2851.41
Bangka Selatan,1,3598.24,173,3598.24
Bangka Tengah,1,2259.98,64,2259.98
Bangkalan,1,1301.03,44,1301.03
Bangli,1,526.76,36,526.76
Banjar,2,4588.39,8,4588.39
Banjarnegara,3,1144.9,11,1144.9
Bantaeng,1,390.97,29,390.97
Bantul,1,511.71,3,511.71
Banyuasin,1,12262.74,24,12262.74
Banyumas,3,1391.15,7,1391.15
Banyuwangi,2,3592.72,127,3592.72
Barito Kuala,1,2426.0,1,2426.0
Barito Selatan,1,6267.08,1,6267.08
Barito Timur,1,3212.52,1,3212.52
Barito Utara,3,9984.81,4,9984.81
Barru,2,1201.58,60,1201.58
Batang,3,857.27,17,857.27
Batanghari,3,5453.69,4,5453.69
Batu Bara,3,888.11,8,888.11
Bekasi,2,1251.02,4,1251.02
Belitung,1,2270.69,251,2270.69
Belitung Timur,1,2586.97,148,2586.97
Belu,1,1127.25,22,1127.25
Bener Meriah,2,1907.4,5,1907.4
Bengkalis,4,8616.36,53,8616.36
Bengkayang,3,5488.61,63,5488.61
Bengkulu Selatan,3,1219.21,15,1219.21
Bengkulu Tengah,3,1132.29,10,1132.29
Bengkulu Utara,4,4481.99,45,4481.99
