nama_ws,kode_ws,status_ws,luas_ws_km2,jumlah_das
WS ACEH-MEUREUDU,01.01.A3,STRATEGIS NASIONAL,5535.33,360
WS AMBON-SERAM,06.05.A3,STRATEGIS NASIONAL,19235.61,1345
WS ANAI-SIBERUT-PAGAI-SIPORA,01.28.A3,STRATEGIS NASIONAL,8870.77,910
WS ASAHAN TOBA,01.12.A3,STRATEGIS NASIONAL,7408.55,1
WS BALI-PENIDA,03.01.A3,STRATEGIS NASIONAL,5590.22,433
WS BANGKA,01.39.A3,STRATEGIS NASIONAL,11831.02,457
WS BARITO,04.09.A2,LINTAS PROVINSI,80602.33,9
WS BARU-KLUET,01.07.B,LINTAS KABUPATEN/KOTA,5349.1,70
WS BARUMUN-KUALUH,01.15.B,LINTAS KABUPATEN/KOTA,17384.03,14
WS BATANG ANGKOLA-BATANG GADIS,01.16.B,LINTAS KABUPATEN/KOTA,5521.88,11
WS BATANG GANGSAL,01.29.B,LINTAS KABUPATEN/KOTA,3696.9,1
WS BATANG NATAL-BATANG BATAHAN,01.17.A2,LINTAS PROVINSI,4108.93,127
WS BATANGHARI,01.33.A2,LINTAS PROVINSI,45805.24,2
WS BELAWAN-ULAR-PADANG,01.10.A3,STRATEGIS NASIONAL,6227.39,13
WS BELITUNG,01.40.B,LINTAS KABUPATEN/KOTA,4859.52,403
WS BENAIN,03.07.A1,LINTAS NEGARA,6466.14,55
WS BENGAWAN SOLO,02.18.A2,LINTAS PROVINSI,19637.34,111
WS BENGKALIS-MERANTI,01.30.B,LINTAS KABUPATEN/KOTA,6050.4,105
WS BENGKULU-ALAS-TALO,01.36.B,LINTAS KABUPATEN/KOTA,3205.61,11
WS BERAU,04.15.A2,LINTAS PROVINSI,19952.63,97
WS BILA WALANAE,05.16.A3,STRATEGIS NASIONAL,11459.23,57
WS BODRI-KUTO,02.13.B,LINTAS KABUPATEN/KOTA,1643.82,13
WS BOLON,01.11.B,LINTAS KABUPATEN/KOTA,4042.86,6
WS BONDOYUDO-BARU,02.22.B,LINTAS KABUPATEN/KOTA,7216.85,202
WS BONGKA-MANTAWA,05.10.B,LINTAS KABUPATEN/KOTA,13867.67,978
WS BRANTAS,02.19.A3,STRATEGIS NASIONAL,14257.65,385
WS BUKIT BATU,01.22.C,DALAM SATU KABUPATEN/KOTA,1214.75,2
WS BURU,06.04.B,LINTAS KABUPATEN/KOTA,8594.26,333
WS BUTON,05.22.B,LINTAS KABUPATEN/KOTA,5098.91,690
WS CENGAL-BATULICIN,04.10.B,LINTAS KABUPATEN/KOTA,14477.26,154
WS CIBALIUNG-CISAWARNA,02.01.B,LINTAS KABUPATEN/KOTA,2594.76,335
WS CIDANAU-CIUJUNG-CIDURIAN,02.03.A2,LINTAS PROVINSI,4155.93,80
WS CILIMAN-CIBUNGUR,02.02.B,LINTAS KABUPATEN/KOTA,1735.62,65
WS CILIWUNG-CISADANE,02.05.A2,LINTAS PROVINSI,5233.8,14
WS CIMANUK-CISANGGARUNG,02.09.A2,LINTAS PROVINSI,7691.29,35
WS CISADEA-CIBAREO,02.07.B,LINTAS KABUPATEN/KOTA,6802.91,168
WS CITANDUY,02.10.A2,LINTAS PROVINSI,4475.15,57
