WS,WADMPR,luas_km2
WS ACEH-MEUREUDU,Aceh,5535.257668791794
WS AMBON-SERAM,Maluku,19235.238621424567
WS ANAI-SIBERUT-PAGAI-SIPORA,Sumatera Barat,8870.767823865775
WS ASAHAN TOBA,Sumatera Utara,7408.551594965974
WS BALI-PENIDA,Bali,5590.150476129799
WS BANGKA,Kepulauan Bangka Belitung,11831.016982777144
WS BARITO,Kalimantan Barat,5.898433030463566
WS BARITO,Kalimantan Selatan,20222.30819971252
WS BARITO,Kalimantan Tengah,60282.931588520296
WS BARITO,Kalimantan Timur,89.77869561567724
WS BARU-KLUET,Aceh,5349.096972866154
WS BARUMUN-KUALUH,Riau,139.79432695044642
WS BARUMUN-KUALUH,Sumatera Utara,17244.240084570163
WS BATANG ANGKOLA-BATANG GADIS,Sumatera Barat,0.9189080297450876
WS BATANG ANGKOLA-BATANG GADIS,Sumatera Utara,5520.96026403235
WS BATANG GANGSAL,Jambi,45.37033478157981
WS BATANG GANGSAL,Riau,3651.532538052189
WS BATANG NATAL-BATANG BATAHAN,Sumatera Barat,672.8770591100167
WS BATANG NATAL-BATANG BATAHAN,Sumatera Utara,3435.902692338224
WS BATANGHARI,Bengkulu,1.2778494918686298
WS BATANGHARI,Jambi,37239.9567022222
WS BATANGHARI,Riau,129.05018209236394
WS BATANGHARI,Sumatera Barat,8282.114521095496
WS BATANGHARI,Sumatera Selatan,152.80040229893535
WS BELAWAN-ULAR-PADANG,Sumatera Utara,6227.358031625228
WS BELITUNG,Kepulauan Bangka Belitung,4857.6632547050585
WS BENAIN,Nusa Tenggara Timur,6466.136407394549
WS BENGAWAN SOLO,Daerah Istimewa Yogyakarta,83.36023013635374
WS BENGAWAN SOLO,Jawa Tengah,6343.36382634169
WS BENGAWAN SOLO,Jawa Timur,13210.473780473229
WS BENGKALIS-MERANTI,Riau,6050.397342214758
WS BENGKULU-ALAS-TALO,Bengkulu,3201.034957616121
WS BENGKULU-ALAS-TALO,Sumatera Selatan,3.784295761936085
WS BERAU,Kalimantan Timur,18924.635524597663
WS BERAU,Kalimantan Utara,1023.4898105676452
WS BILA WALANAE,Sulawesi Selatan,11459.23332107664
WS BODRI-KUTO,Jawa Tengah,1643.8189679581071
WS BOLON,Sumatera Utara,4042.856023479566
WS BONDOYUDO-BARU,Jawa Timur,7216.725889052777
WS BONGKA-MANTAWA,Sulawesi Tengah,13867.67277250468
WS BRANTAS,Jawa Timur,14257.648038338872
WS BUKIT BATU,Riau,1214.7470529796706
WS BURU,Maluku,8594.262349093618
WS BUTON,Sulawesi Tenggara,5098.913843964212
